t,x,y,z,x_ref,y_ref,z_ref,vx,vy,vz,roll,pitch,yaw,roll_ref,pitch_ref,yaw_ref,acc_x_cmd,acc_y_cmd,acc_z_cmd,thrust_total,tau_x,tau_y,tau_z,f1,f2,f3,f4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26487,0.0,0.0,0.0,0.06621749999999998,0.06621750000000001,0.06621749999999998,0.06621750000000001
0.01,3.5196955829696687e-07,1.999057075459891e-08,0.001180147098580911,0.0,0.0,0.0,4.080439944710175e-05,4.961398853548979e-06,0.19346085275565394,0.0,0.0,0.0,2.2778069197948293e-06,-1.874990521044089e-05,0.0,-0.00018393657011442515,-2.2345285883187275e-05,-0.7791540729662298,0.2438328400299118,1.025013113986617e-08,-8.437457344601106e-08,0.0,0.0609589378898209,0.06095878019549571,0.060957482125134965,0.060957639819460216
0.02,6.16648280438659e-07,5.996891445706793e-08,0.003391828566805352,0.0,0.0,0.0,1.767376090999141e-05,1.6705594377736823e-06,0.23186223789878527,-2.370718024800446e-06,5.619890092121651e-05,-6.979517843117132e-10,7.721190559343308e-07,-8.163803011962908e-06,0.0,-8.008690754735613e-05,-7.574487938715785e-06,-0.9427121801457652,0.23941677151481414,2.5262851027444206e-07,-2.5387584481365262e-06,-2.9491914638351686e-11,0.059875666314905686,0.0598717772647804,0.05983272190016091,0.05983660603496714
0.03,7.630178184822595e-07,7.369949624316602e-08,0.0056721454738424175,0.0,0.0,0.0,1.9450855922506484e-05,1.7742015828134584e-06,0.22327577172518184,-8.027305490824551e-06,9.763014713277168e-05,5.5041875158027e-10,8.209909932815057e-07,-8.99241260834997e-06,0.0,-8.821556768791322e-05,-8.053921644091571e-06,-0.9186277415330183,0.2400670521304602,1.2275707597799832e-07,-1.371540553267266e-06,-1.4831519855280216e-11,0.06002825824774307,0.06002636844138345,0.06000526905344699,0.060007156387886694
0.04,1.0079522194862483e-06,9.566095237590737e-08,0.007858571208396344,0.0,0.0,0.0,2.961673835689867e-05,2.6252725794960105e-06,0.21401048368728162,-9.2954413683068e-06,0.00011123689103971128,1.9858058751154352e-09,1.2135172795605668e-06,-1.367813247742932e-05,0.0,-0.00013418247960358165,-1.190460451248916e-05,-0.8914055051869101,0.2408020528601564,7.321636079562036e-08,-8.528549430241831e-07,-1.4046985676140309e-11,0.06020763742574416,0.060206509849611345,0.06019339017491616,0.06019451540988475
0.05,1.3563587282994666e-06,1.2629375580978027e-07,0.009953737643926791,0.0,0.0,0.0,4.00765547021962e-05,3.5024167090851324e-06,0.20502383401389826,-9.779915314933821e-06,0.00011668041681432836,3.4186033756351775e-09,1.6188434514681331e-06,-1.8508177269658753e-05,0.0,-0.0001815652190153524,-1.5880854258902386e-05,-0.8648871554532636,0.24151804845836405,5.928158638956285e-08,-6.986584888574974e-07,-1.5112881140301602e-11,0.060385343052565515,0.06038442976875279,0.06037368243602324,0.06037459320102251
0.060000000000000005,1.8093730915097812e-06,1.657016139160774e-07,0.011960393681459371,0.0,0.0,0.0,5.0490083948002723e-05,4.376165455642031e-06,0.19630833106752454,-9.855273256655968e-06,0.00011748027386263257,4.850816914369369e-09,2.023461884159981e-06,-2.33265864983049e-05,0.0,-0.00022883381354837107,-1.9850161083609414e-05,-0.8390550958366654,0.2422155140956554,5.0742222411040714e-08,-5.99311265035816e-07,-1.6197598779077555e-11,0.06055887961025568,0.06055809761088026,0.06054887878737188,0.060549658087147566
0.07,2.3651631096187547e-06,2.1373402521741661e-07,0.013881214329322917,0.0,0.0,0.0,6.059108180192003e-05,5.223885772764422e-06,0.18785668766217842,-9.65402978739434e-06,0.00011504120754304313,6.269590910033177e-09,2.416975871701982e-06,-2.8011061662313666e-05,0.0,-0.00027478851490729707,-2.3710533301396447e-05,-0.8138922151306668,0.24289491181008482,4.294459491595851e-08,-5.073203522331955e-07,-1.7242517755589677e-11,0.06072796147824519,0.06072729935529311,0.06071949586367367,0.06072015511287285
0.08,3.0194336336206204e-06,2.700316161789612e-07,0.01571880271496902,0.0,0.0,0.0,7.015133705338599e-05,6.026251392766109e-06,0.17966181453931981,-9.223104438326109e-06,0.00010989254533152799,7.664760275057529e-09,2.7904853519691646e-06,-3.245652466977528e-05,0.0,-0.0003183985070104955,-2.7374661302817505e-05,-0.7893818703746398,0.24355669098088442,3.5271334021450645e-08,-4.1657947112930585e-07,-1.8237008006850488e-11,0.06089264928052066,0.060892105124862005,0.060885697729672186,0.06088623884582957
0.09,3.765774631429616e-06,3.3405597827293613e-07,0.017475692032883607,0.0,0.0,0.0,7.897587408578965e-05,6.766759512469551e-06,0.17171681411040346,-8.59660445499431e-06,0.00010243375008048171,9.026090568295155e-09,3.1363680923009445e-06,-3.657294908810806e-05,0.0,-0.0003587806305543401,-3.076777098547227e-05,-0.76550787058959,0.24420128878426667,2.7733218672621244e-08,-3.2740595119206437e-07,-1.9171819552571364e-11,0.061053054834660656,0.0610526265721064,0.06104759115512428,0.06104801622237533
