t,x,y,z,x_ref,y_ref,z_ref,vx,vy,vz,roll,pitch,yaw,roll_ref,pitch_ref,yaw_ref,acc_x_cmd,acc_y_cmd,acc_z_cmd,thrust_total,tau_x,tau_y,tau_z,f1,f2,f3,f4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26487,0.0,0.0,0.0,0.06621749999999998,0.06621750000000001,0.06621749999999998,0.06621750000000001
0.01,3.5196955829696687e-07,1.999057075459891e-08,0.001180147098580911,0.0,0.0,0.0,4.080439944710175e-05,4.961398853548979e-06,0.19346085275565394,0.0,0.0,0.0,2.2778069197948293e-06,-1.6671964206808268e-05,0.0,-0.0001635519688687891,-2.2345285883187275e-05,-0.876002514053915,0.2412179321205443,1.025013113986617e-08,-7.502383893132068e-08,0.0,0.06030513898375199,0.060304981289426796,0.06030382707652013,0.06030398477084538
0.02,6.175936357992974e-07,6.006372866166378e-08,0.0033918131391396924,0.0,0.0,0.0,1.7806749833884818e-05,1.666607461600749e-06,0.23169853680112265,-2.370718024800446e-06,5.619890092121651e-05,-6.979517843117132e-10,7.703154046311876e-07,-7.320460070290377e-06,0.0,-7.18137132895486e-05,-7.556794119431951e-06,-1.0582457560450944,0.23629736496059744,2.526203938429152e-07,-2.534963404898862e-06,-2.9491914638351686e-11,0.05909578542127714,0.05909189649602003,0.05905289951668111,0.059056783526619167
0.03,7.654218373728921e-07,7.375794432542516e-08,0.005666920121272477,0.0,0.0,0.0,1.9547012821797736e-05,1.7659856045557523e-06,0.22217737336813081,-8.042130800947063e-06,9.776249927381132e-05,5.54875629837876e-10,8.172278560254882e-07,-8.044363102211538e-06,0.0,-7.891520203269519e-05,-8.01700526761004e-06,-1.025866012714442,0.23717161879776433,1.2271304452415444e-07,-1.3751286574491185e-06,-1.4905679689921015e-11,0.05930442717975701,0.059302538044624376,0.0592813834612651,0.05928327011211784
0.04,1.010922153064051e-06,9.559343592879945e-08,0.007837005192791187,0.0,0.0,0.0,2.9636657928511167e-05,2.6082260743388634e-06,0.2118408684179581,-9.31123567657665e-06,0.00011163210365024943,1.9947416287792734e-09,1.2056912434920737e-06,-1.218216185111677e-05,0.0,-0.00011950700775945552,-1.1827831098657243e-05,-0.9893341317676508,0.23815797993652732,7.328672584530636e-08,-8.573788876338909e-07,-1.4111665016513777e-11,0.05954665453837539,0.0595455258743134,0.059532336605860325,0.0595334629179782
0.05,1.359281851111108e-06,1.2601532047189082e-07,0.00990558763159519,0.0,0.0,0.0,4.0050773713622614e-05,3.477283161915844e-06,0.20187674763688107,-9.796787474290505e-06,0.00011733891911421482,3.4317880101964275e-09,1.6072873377237098e-06,-1.646222350795576e-05,0.0,-0.000161494412613046,-1.5767488783069595e-05,-0.9540110674713027,0.23911170283584487,5.934645042290446e-08,-7.013678808380438e-07,-1.5179974996439334e-11,0.05978377799016217,0.05978286370285009,0.05977207469275815,0.059772986450074464
0.060000000000000005,1.8119536473638774e-06,1.651362813963991e-07,0.011876327937088628,0.0,0.0,0.0,5.045113384757727e-05,4.3439610912101114e-06,0.19227234994929074,-9.873168281609818e-06,0.0001183851285114274,4.868203377752133e-09,2.008634493147001e-06,-2.0746777915933206e-05,0.0,-0.00020352589135530475,-1.9704704377772082e-05,-0.919856683282416,0.24003387124511594,5.078668565812095e-08,-6.000657143657823e-07,-1.6267293673637745e-11,0.06001347504600613,0.06001269235677285,0.060003461932159614,0.06000424191017734
0.07,2.367434966816563e-06,2.1281664462868257e-07,0.013752762221029233,0.0,0.0,0.0,6.0572308368930606e-05,5.185746550155438e-06,0.18301545837750746,-9.672665364945252e-06,0.00011617731177681636,6.291196806710438e-09,2.399391976360522e-06,-2.4927451243037528e-05,0.0,-0.00024453829669419816,-2.3538035288096722e-05,-0.886832268915518,0.24092553037645775,4.2970507425020414e-08,-5.064523039655348e-07,-1.7314772636575886e-11,0.06023560964488167,0.06023494711725437,0.060227156986244895,0.060227816628076816
0.08,3.021766694821407e-06,2.6870864757457616e-07,0.015538306561779026,0.0,0.0,0.0,7.018659356701396e-05,5.983354726303542e-06,0.17409428273180316,-9.242252330707612e-06,0.00011125266568010979,7.690568193395822e-09,2.770679865806502e-06,-2.8911014539055674e-05,0.0,-0.0002836170526281362,-2.7180369483561785e-05,-0.8549004824772977,0.24178768847976156,3.528305711647065e-08,-4.145306157378477e-07,-1.83117407960422e-11,0.06045038298810538,0.06044983864586368,0.060443462777753774,0.06044400406803873
0.09,3.768879171359777e-06,3.3228561851052804e-07,0.01723626118943081,0.0,0.0,0.0,7.909937390839278e-05,6.720268334373507e-06,0.1654974430938935,-8.616117741447799e-06,0.0001040181213523682,9.056044205072782e-09,3.1148704222493153e-06,-3.261752608015932e-05,0.0,-0.0003199779308463629,-3.0556878842265783e-05,-0.8240252953939025,0.24262131834592382,2.7735184442806212e-08,-3.246483841322762e-07,-1.924891099571221e-11,0.06065804103135409,0.06065761273213293,0.06065261974568371,0.060653044836753094
